development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
sbcs-CP7,Accessibility and Transport,,local-authority-eng:BUC,accessibility;transport,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP7
sbcs-CP8,Built And Historic Environment,,local-authority-eng:BUC,heritage,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP8
sbcs-CP9,Natural Environment,,local-authority-eng:BUC,nature,E07000006,,2020-12-21,2011-02-22,,/development-policy/local-authority-eng/BUC/sbcs-CP9
sblp-C1,Development within a Conservation Area,,local-authority-eng:BUC,conservation-area;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-C1
sblp-C15,Sites of Geological Importance,,local-authority-eng:BUC,,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-C15
sblp-C6,Alterations and Extensions to Listed Buildings,,local-authority-eng:BUC,listed-building;residential-alterations,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-C6
sblp-COM1,Provision of Community Facilities,,local-authority-eng:BUC,community-facilities;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-COM1
sblp-COM2,Loss of Community Facilities,,local-authority-eng:BUC,community-facilities;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-COM2
sblp-E2,Pinewood Studios,,local-authority-eng:BUC,area/location-specific-policy,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-E2
sblp-EP16,Hazardous Substances,,local-authority-eng:BUC,contamination,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP16
sblp-EP17,Aerodrome/Air Traffic Safeguarding,,local-authority-eng:BUC,aviation,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP17
sblp-EP18,Telecommunications Development,,local-authority-eng:BUC,broadband;infrastructure;communications;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP18
sblp-EP3,"The Use, Design and Layout of Development",,local-authority-eng:BUC,design;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP3
sblp-EP4,Landscaping,,local-authority-eng:BUC,nature,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP4
sblp-EP5,Sunlight and Daylight,,local-authority-eng:BUC,lighting,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP5
sblp-EP6,Designing to Reduce Crime,,local-authority-eng:BUC,design,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP6
sblp-EP7,Signs and Advertisements,,local-authority-eng:BUC,advertising;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-EP7
sblp-GB1,Green Belt Boundaries and the Control over Development in the Green Belt,,local-authority-eng:BUC,green-belt;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB1
sblp-GB10,Extensions to Dwellings in the Green Belt,,local-authority-eng:BUC,green-belt;existing-housing;residential-alterations,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB10
sblp-GB11,Rebuilding of Dwellings in the Green Belt,,local-authority-eng:BUC,green-belt;development-management;housing;residential-alterations,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB11
sblp-GB13,Extensions of Residential Curtilages in the Green Belt,,local-authority-eng:BUC,green-belt;development-management;existing-housing;residential-alterations,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB13
sblp-GB2,Re-use of Buildings in the Green Belt,,local-authority-eng:BUC,green-belt;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB2
sblp-GB3,Residential Infilling in Green Belt Settlements,,local-authority-eng:BUC,green-belt;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB3
sblp-GB4,Employment Generating and Commercial Development in the Green Belt (excluding Green Belt settlements),,local-authority-eng:BUC,green-belt;employment,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB4
sblp-GB5,Employment Generating and Commercial Development in Green Belt Settlements,,local-authority-eng:BUC,green-belt;employment,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB5
sblp-GB7,Removal of Agricultural Occupancy Conditions,,local-authority-eng:BUC,development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB7
sblp-GB9,Agricultural diversification,,local-authority-eng:BUC,development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-GB9
sblp-H10,Residential Areas of Exceptional Character,,local-authority-eng:BUC,,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-H10
sblp-H11,Alterations and Extensions to Dwellings,,local-authority-eng:BUC,residential-alterations;existing-housing,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-H11
sblp-H12,Self-contained Residential Annexe to Provide Ancillary Accommodation,,local-authority-eng:BUC,development-management;existing-housing,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-H12
sblp-H13,Ancillary Buildings within Residential Curtilage,,local-authority-eng:BUC,development-management;existing-housing,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-H13
sblp-H2,New Housing Allocations,,local-authority-eng:BUC,allocated-sites;housing,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-H2
sblp-H6,Specialist Residential Accommodation,,local-authority-eng:BUC,development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-H6
sblp-H9,Residential Layout and Design,,local-authority-eng:BUC,design,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-H9
sblp-L10,Proposals Involving Felling or other Works affecting Trees Covered By a Tree Preservation Order,,local-authority-eng:BUC,trees,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-L10
sblp-L4,River Thames Setting,,local-authority-eng:BUC,area/location-specific-policy,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-L4
sblp-R10,Golf Driving Ranges,,local-authority-eng:BUC,leisure,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-R10
sblp-R5,Horse Related Facilities,,local-authority-eng:BUC,equestrian-facilities,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-R5
sblp-R6,Specialist Sports,,local-authority-eng:BUC,leisure,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-R6
sblp-R8,Floodlighting,,local-authority-eng:BUC,lighting,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-R8
sblp-R9,Golf Courses,,local-authority-eng:BUC,leisure,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-R9
sblp-S1,District Shopping Centres,,local-authority-eng:BUC,retail,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-S1
sblp-S2,Local Shopping Centres,,local-authority-eng:BUC,retail,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-S2
sblp-S3,Neighbourhood Shops,,local-authority-eng:BUC,community-facilities;retail,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-S3
sblp-S4,Individual Shops,,local-authority-eng:BUC,retail,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-S4
sblp-S6,Out-of-Centre Shopping Development,,local-authority-eng:BUC,development-management;retail,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-S6
sblp-S9,"Markets, Car-boot Sales, etc",,local-authority-eng:BUC,retail,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-S9
sblp-TC1,"Development in Beaconsfield (New Town), Burnham, and Gerrards Cross",,local-authority-eng:BUC,area/location-specific-policy;development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-TC1
sblp-TR10,Heavy Goods Vehicles,,local-authority-eng:BUC,transport;highways,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-TR10
sblp-TR12,West Drayton to Poyle Railway Line,,local-authority-eng:BUC,area/location-specific-policy,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-TR12
sblp-TR13,Freight Facilities,,local-authority-eng:BUC,freight,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-TR13
sblp-TR4,Provision for those with Special Needs,,local-authority-eng:BUC,development-management,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-TR4
sblp-TR5,"Accesses, Highway Works and Traffic Generation",,local-authority-eng:BUC,highways;transport,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-TR5
sblp-TR7,Parking Provision,,local-authority-eng:BUC,car-parks;parking,E07000006,,2020-12-21,1999-03-22,,/development-policy/local-authority-eng/BUC/sblp-TR7
slaptonndp-SLP1,Slapton Settlement Boundary,,local-authority-eng:BUC,strategic-policy,E04001529,,2020-12-21,2018-07-17,,/development-policy/local-authority-eng/BUC/slaptonndp-SLP1
slaptonndp-SLP2,Housing Site Reservations,,local-authority-eng:BUC,allocated-sites;housing,E04001529,,2020-12-21,2018-07-17,,/development-policy/local-authority-eng/BUC/slaptonndp-SLP2
slaptonndp-SLP3,Village Hall,,local-authority-eng:BUC,community-facilities,E04001529,,2020-12-21,2018-07-17,,/development-policy/local-authority-eng/BUC/slaptonndp-SLP3
slaptonndp-SLP4,Employment Sites,,local-authority-eng:BUC,employment,E04001529,,2020-12-21,2018-07-17,,/development-policy/local-authority-eng/BUC/slaptonndp-SLP4
slaptonndp-SLP5,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001529,,2020-12-21,2018-07-17,,/development-policy/local-authority-eng/BUC/slaptonndp-SLP5
slaptonndp-SLP6,Design,,local-authority-eng:BUC,design,E04001529,,2020-12-21,2018-07-17,,/development-policy/local-authority-eng/BUC/slaptonndp-SLP6
steepleclaydonndp-SC1,Steeple Claydon Settlement Boundary,,local-authority-eng:BUC,strategic-policy,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC1
steepleclaydonndp-SC2,"Land at Molly’s Field, Addison Road",,local-authority-eng:BUC,allocated-sites,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC2
steepleclaydonndp-SC3,"The Co-op, West Street",,local-authority-eng:BUC,allocated-sites,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC3
steepleclaydonndp-SC4,"The GP Surgery, Vicarage Lane",,local-authority-eng:BUC,allocated-sites,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC4
steepleclaydonndp-SC5,Land at Queen Catherine Road,,local-authority-eng:BUC,allocated-sites,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC5
steepleclaydonndp-SC6,Local Green Spaces,,local-authority-eng:BUC,community-facilities;designation,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC6
steepleclaydonndp-SC7,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC7
steepleclaydonndp-SC8,Design,,local-authority-eng:BUC,design,E04001531,,2020-12-21,2017-12-15,,/development-policy/local-authority-eng/BUC/steepleclaydonndp-SC8
valp-BE1,Heritage assets,,local-authority-eng:BUC,conservation-area;heritage;listed-buildings,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-BE1
valp-BE2,Design of new development,,local-authority-eng:BUC,design,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-BE2
valp-BE3,Protection of the amenity of residents,,local-authority-eng:BUC,,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-BE3
valp-BE4,Density of new development,,local-authority-eng:BUC,density,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-BE4
valp-C1,Conversion of rural buildings,,local-authority-eng:BUC,development-management,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-C1
valp-C2,Equestrian development,,local-authority-eng:BUC,equestrian-facilities,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-C2
valp-C3,Renewable Energy,,local-authority-eng:BUC,energy,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-C3
valp-C4,Protection of public rights of way,,local-authority-eng:BUC,infrastructure,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-C4
valp-D-BUC043,"Land west of AVDLP allocation BU1 Moreton Road, Buckingham",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-BUC043
valp-D-BUC046,Land off Osier Way (south of A421 and east of Gawcott Road),,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-BUC046
valp-D-BUC051,"West Buckingham, land bound by Brackley Road and the River Great Ouse",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-BUC051
valp-D-CDN001,Land north of Aylesbury Road and rear of Great Stone House,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-CDN001
valp-D-CDN003,Dadbrook Farm,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-CDN003
valp-D-HAD007,Land north of Rosemary Lane,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-HAD007
valp-D-HAL003,RAF Halton,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-HAL003
valp-D-ICK004,Land off Turnfields,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-ICK004
valp-D-MGB003,Leopold Farm and area to the west,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-MGB003
valp-D-MMO006,Land east of Walnut Drive and west of Foscote Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-MMO006
valp-D-NLV005,"Land south of Whaddon Road and west of Lower Rd, Newton Longville",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-NLV005
valp-D-QUA001,"Land south west of 62 Station Road, Quainton",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-QUA001
valp-D-QUA0014-016,"Land adjacent to Station Road, Quainton",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-QUA0014-016
valp-D-SCD003,Land at Queen Catherine Road,,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-SCD003
valp-D-SCD008,"Land at Molly’s Folly/Molly’s Field, west of Addison Road",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-SCD008
valp-D-STO008,"Land south of Creslow Way, Stone",,local-authority-eng:BUC,area/location-specific-policy;allocated-sites,E07000004,,2020-12-21,,,/development-policy/local-authority-eng/BUC/valp-D-STO008
