development-policy,name,description,organisation,development-policy-categories,geographies,notes,entry-date,start-date,end-date,slug
bledlowcumsaundertonndp-P1,Spatial Plan for the Parish,,local-authority-eng:BUC,,/development-policy-area/local-authority-eng/BUC/LPP1,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P1
bledlowcumsaundertonndp-P10,Environment,,local-authority-eng:BUC,employment,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P10
bledlowcumsaundertonndp-P11,Community Facilities,,local-authority-eng:BUC,community-facilities,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P11
bledlowcumsaundertonndp-P12,Bledlow Ridge School,,local-authority-eng:BUC,area/location-specific-policy;community-facilities;education;schools,/development-policy-area/local-authority-eng/BUC/LPP12,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P12
bledlowcumsaundertonndp-P13,Connecting the Parish,,local-authority-eng:BUC,cycling;walking;infrastructure;transport,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P13
bledlowcumsaundertonndp-P14,Renewable and Low Carbon Energy,,local-authority-eng:BUC,climate-change;energy,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P14
bledlowcumsaundertonndp-P2,Development within Settlements,,local-authority-eng:BUC,development-management,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P2
bledlowcumsaundertonndp-P3,"Molins, South Saunderton",,local-authority-eng:BUC,area/location-specific-policy,/development-policy-area/local-authority-eng/BUC/LPP3,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P3
bledlowcumsaundertonndp-P4,Design Management in Bledlow Village and Pitch Green,,local-authority-eng:BUC,design,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P4
bledlowcumsaundertonndp-P5,Design Management in Bledlow Ridge,,local-authority-eng:BUC,design,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P5
bledlowcumsaundertonndp-P6,Design Management in the Parish,,local-authority-eng:BUC,design,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P6
bledlowcumsaundertonndp-P7,Sustainable Design in the Greenbelt,,local-authority-eng:BUC,design;green-belt,E04001592,,2020-12-21,2017-01-01,,/development-policy/local-authority-eng/BUC/bledlowcumsaundertonndp-P7
