description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,valp-D1-AGT3,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Aylesbury north of A41,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AGT3
,valp-D1-AGT4,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Aylesbury south of A41,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AGT4
,valp-D1-AGT5,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Berryfields,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AGT5
,valp-D1-AGT6,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Kingsbrook,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AGT6
,valp-D1-AYL032,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Ardenham Lane, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL032
,valp-D1-AYL073,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land at Thame Road/Leach Road, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL073
,valp-D1-AYL052,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"PO Sorting Office, Cambridge Street, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL052
,valp-D1-AYL059,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land at junction of Buckingham Street and New Street, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL059
,valp-D1-AYL077,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Oaklands Hostel, 3 Bierton Rd, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL077
,valp-D1-AYL063,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Hampden House, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL063
,valp-D1-AYL068,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Land north of Manor Hospital, Bierton Rd, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL068
,valp-D1-AYL115,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,"Rabans Lane, Aylesbury",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-AYL115
,valp-D1-NLV001,area/location-specific-policy;allocated-sites,,2020-12-21,E07000004,Salden Chase,,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D1-NLV001
,valp-D2,development-management,,2020-12-21,E07000004,"Proposals for non-allocated sites at strategic settlements, larger villages and medium villages",,development-policy:Buckinghamshire Council,,development-policy/development-policy/Buckinghamshire Council/valp-D2
