description,development-policy,development-policy-categories,end-date,entry-date,geographies,name,notes,organisation,start-date,slug
,sblp-GB5,green-belt;employment,,2020-12-21,E07000006,Employment Generating and Commercial Development in Green Belt Settlements,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB5
,sblp-GB7,development-management,,2020-12-21,E07000006,Removal of Agricultural Occupancy Conditions,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB7
,sblp-GB9,development-management,,2020-12-21,E07000006,Agricultural diversification,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB9
,sblp-GB10,green-belt;existing-housing;residential-alterations,,2020-12-21,E07000006,Extensions to Dwellings in the Green Belt,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB10
,sblp-GB11,green-belt;development-management;housing;residential-alterations,,2020-12-21,E07000006,Rebuilding of Dwellings in the Green Belt,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB11
,sblp-GB13,green-belt;development-management;existing-housing;residential-alterations,,2020-12-21,E07000006,Extensions of Residential Curtilages in the Green Belt,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-GB13
,sblp-L4,area/location-specific-policy,,2020-12-21,E07000006,River Thames Setting,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-L4
,sblp-L10,trees,,2020-12-21,E07000006,Proposals Involving Felling or other Works affecting Trees Covered By a Tree Preservation Order,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-L10
,sblp-C1,conservation-area;development-management,,2020-12-21,E07000006,Development within a Conservation Area,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-C1
,sblp-C6,listed-building;residential-alterations,,2020-12-21,E07000006,Alterations and Extensions to Listed Buildings,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-C6
,sblp-C15,,,2020-12-21,E07000006,Sites of Geological Importance,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-C15
,sblp-EP3,design;development-management,,2020-12-21,E07000006,"The Use, Design and Layout of Development",,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP3
,sblp-EP4,nature,,2020-12-21,E07000006,Landscaping,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP4
,sblp-EP5,lighting,,2020-12-21,E07000006,Sunlight and Daylight,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP5
,sblp-EP6,design,,2020-12-21,E07000006,Designing to Reduce Crime,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP6
,sblp-EP7,advertising;development-management,,2020-12-21,E07000006,Signs and Advertisements,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP7
,sblp-EP16,contamination,,2020-12-21,E07000006,Hazardous Substances,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP16
,sblp-EP17,aviation,,2020-12-21,E07000006,Aerodrome/Air Traffic Safeguarding,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP17
,sblp-EP18,broadband;infrastructure;communications;development-management,,2020-12-21,E07000006,Telecommunications Development,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-EP18
,sblp-R5,equestrian-facilities,,2020-12-21,E07000006,Horse Related Facilities,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-R5
,sblp-R6,leisure,,2020-12-21,E07000006,Specialist Sports,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-R6
,sblp-R8,lighting,,2020-12-21,E07000006,Floodlighting,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-R8
,sblp-R9,leisure,,2020-12-21,E07000006,Golf Courses,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-R9
,sblp-R10,leisure,,2020-12-21,E07000006,Golf Driving Ranges,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-R10
,sblp-H2,allocated-sites;housing,,2020-12-21,E07000006,New Housing Allocations,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-H2
,sblp-H6,development-management,,2020-12-21,E07000006,Specialist Residential Accommodation,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-H6
,sblp-H9,design,,2020-12-21,E07000006,Residential Layout and Design,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-H9
,sblp-H10,,,2020-12-21,E07000006,Residential Areas of Exceptional Character,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-H10
,sblp-H11,residential-alterations;existing-housing,,2020-12-21,E07000006,Alterations and Extensions to Dwellings,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-H11
,sblp-H12,development-management;existing-housing,,2020-12-21,E07000006,Self-contained Residential Annexe to Provide Ancillary Accommodation,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-H12
,sblp-H13,development-management;existing-housing,,2020-12-21,E07000006,Ancillary Buildings within Residential Curtilage,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-H13
,sblp-TC1,area/location-specific-policy;development-management,,2020-12-21,E07000006,"Development in Beaconsfield (New Town), Burnham, and Gerrards Cross",,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-TC1
,sblp-S1,retail,,2020-12-21,E07000006,District Shopping Centres,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-S1
,sblp-S2,retail,,2020-12-21,E07000006,Local Shopping Centres,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-S2
,sblp-S3,community-facilities;retail,,2020-12-21,E07000006,Neighbourhood Shops,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-S3
,sblp-S4,retail,,2020-12-21,E07000006,Individual Shops,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-S4
,sblp-S6,development-management;retail,,2020-12-21,E07000006,Out-of-Centre Shopping Development,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-S6
,sblp-S9,retail,,2020-12-21,E07000006,"Markets, Car-boot Sales, etc",,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-S9
,sblp-E2,area/location-specific-policy,,2020-12-21,E07000006,Pinewood Studios,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-E2
,sblp-TR4,development-management,,2020-12-21,E07000006,Provision for those with Special Needs,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-TR4
,sblp-TR5,highways;transport,,2020-12-21,E07000006,"Accesses, Highway Works and Traffic Generation",,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-TR5
,sblp-TR7,car-parks;parking,,2020-12-21,E07000006,Parking Provision,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-TR7
,sblp-TR10,transport;highways,,2020-12-21,E07000006,Heavy Goods Vehicles,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-TR10
,sblp-TR12,area/location-specific-policy,,2020-12-21,E07000006,West Drayton to Poyle Railway Line,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-TR12
,sblp-TR13,freight,,2020-12-21,E07000006,Freight Facilities,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-TR13
,sblp-COM1,community-facilities;development-management,,2020-12-21,E07000006,Provision of Community Facilities,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-COM1
,sblp-COM2,community-facilities;development-management,,2020-12-21,E07000006,Loss of Community Facilities,,development-policy:Buckinghamshire Council,1999-03-22,development-policy/development-policy/Buckinghamshire Council/sblp-COM2
,sbcs-CP1,allocated-sites;housing,,2020-12-21,E07000006,Housing Provision and Delivery,,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP1
,sbcs-CP2,development-management,,2020-12-21,E07000006,Housing Type and Size,,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP2
,sbcs-CP3,affordable-housing,,2020-12-21,E07000006,Affordable Housing,,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP3
,sbcs-CP4,gypsy-and-travellers,,2020-12-21,E07000006,"Gypsies, Travellers and Travelling Show People",,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP4
,sbcs-CP5,community-facilities;leisure;open-space,,2020-12-21,E07000006,"Open Space, Sport and Recreation",,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP5
,sbcs-CP6,infrastructure,,2020-12-21,E07000006,Local Infrastructure Needs,,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP6
,sbcs-CP7,accessibility;transport,,2020-12-21,E07000006,Accessibility and Transport,,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP7
,sbcs-CP8,heritage,,2020-12-21,E07000006,Built And Historic Environment,,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP8
,sbcs-CP9,nature,,2020-12-21,E07000006,Natural Environment,,development-policy:Buckinghamshire Council,2011-02-22,development-policy/development-policy/Buckinghamshire Council/sbcs-CP9
